adájọ́,àdúgbò,akápò,àlòkù,àlùgbè,àpọ́nlé,àṣekú,aṣòfin,ènìyàn,àfojúdi,alágbára,aperin,
àdá,àdó,àpò,òkú,agbe,olá,asé,aṣo,ení,ijù,agbára,ẹ̀rin,̀sìn
ọ̀dà,adó,ọ̀pá,àlọ́,àgbẹ̀,ọlà,àṣẹ,ọ̀sà,ìyá,afọ́jú,àgbàrá,erin,
òdá,abọ́,apá,olú,agbè,ọ̀la,àsè,òsì,ìyà,akàn,àgbá,ẹ̀rín,
ọjà,oba,àpá,ọkà,ẹ̀gà,olè,èsà,isó,ìyè,akin,àgbà,èrà,
àjò,àbò,àpà,oká,ẹ̀bà,ọ̀lẹ̀,ẹ̀ka,ifo,iyè,ìkánjú,àràbà,àrẹ,
ado̒,gbọ́,ángélì,ókù,ẹbu,òle,eku,òfì,iye,kánjú,àbàrá,ìpè,
àjà,gbà,àní,àmọ́dú́n,abẹ́,ọ̀nà,èkú,òfin,ẹya,alámì,bàrà,ẹlòmíràn,
àjà,àgbo,iná,ọdún,ẹ̀gbá,epo,èṣù,ọ̀fìn,ẹ̀yà,àlà,bárà,ìran,
ajá,àgbò,igẹ̀,adùn,ẹgba,àsírí,awakọ̀,àfin,ìyẹ́,àlá,agara,ẹran,
àjọ,àgbà,ẹlẹ́ja,odù,ehoro,ìrì,ọkà,àfi,àyè,àmì,alárà,òràn,
òjá,àgbá,èlé,eléwé,èrò,àìrí,ọká,ọ̀sìn,ayé,amí,àrá,òmíràn,
ẹlẹ́ja,àyè,ẹja,ewé,ẹ̀ro,ehoro,akọ,ìsìn,iyán,alágbàtà,ara,òmìrán,
èlé,afọbajẹ,ẹ̀jẹ̀,alágbẹ̀dẹ,òré,èrò,àwa,asín,ìyàn,ata,ará,
ẹja,ago,ẹ̀jẹ́,alágbe,òrò,ẹ̀rọ̀,ànfàní,ìfà,àtẹ,alága,,
ẹ̀jẹ̀,agọ̀,ajé,agbede,orò,ọ̀rẹ́,àna,òṣì,,àlùmọ́nì,alàgbà,
ajé,àgọ́,àjẹ́,àgbẹ̀dẹ,dáradára,ọ̀rọ̀,àná,ifá,àga,
agbẹjọ́rò,ọfà,ekuasín,elegini,aràrá,oro,àní,
alábòsí,ẹ́fọ́,ẹ̀sìn,ìgbín,rádaràda,ọrẹ,ifá,
àbòsí,bàjẹ́,ẹ̀sín,ẹ̀gbin,abẹ,ọ̀rẹ̀,
adánilóró,abájọ,ẹ̀san,ẹ̀gbẹ́,ore,orò,
ìlara,ejọ́,adébọ̀wálé,adóèkiti,
olórò,ejò,adélébọ̀,èkìtì,
àdáni,agbójúlógún,adébọ́lá,akítí,
amáyédẹrùn,ògùn,,akété,
gbó,ogún,
ìgè,àgbọn,agbòn,